id,company,employee_turnover,revenue_growth,rd_investment,operational_cost,average_salary,market_volatility,average_tenure,growth_potential,net_profit
22,PT Ihsan Vision Control,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200
23,PT Nico Design Karya,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300
24,PT Awalina Hardware Innovation,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840
25,PT Avin Supply Support,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575
26,PT Rico Bhakti Holding,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231
27,PT Rafdy Corporation Control,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786
28,PT Rafdy Indonesia Visionindo,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310
29,PT Rohibah Karya Enterprise,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400
30,PT Sabiq Abadi Informatika,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310
31,PT Berliana Mobility Works,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446
32,PT German Automation Artha,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897
33,PT Avin Produksi Bridge,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900
34,PT Shafa Inti Digitalindo,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560
35,PT Febri Software Financial,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250
36,PT Febri Creative Platform,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769
37,PT Rifqi Dynamics Transindo,116.0,41.1,7.91,49.6,609,20.8,57.5,6.54,334
38,PT Rafdy International Corporation,63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740
39,PT Idham Insight Access,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200
40,PT Rico Indonesia Anugerah,111.0,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220
41,PT Awalina Base Logistics,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500
42,PT Yassa Logika Group,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800
43,PT Abdul Smartindo Partners,3.4,66.0,7.88,62.9,28300,-1.43,77.5,1.51,19800
44,PT Athallah Teknologi Sejahtera,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000
45,PT Rifqi Logika Bhakti,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450
46,PT Sabiq Mandiri Solution,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660
47,PT Athallah Sentosa Corporation,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600
48,PT Berliana Base Informatika,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990
49,PT Zita Visionindo Perkasa,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100
50,PT Ihsan Nusantara Future,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482
51,PT Rifqi Matrix Usaha,4.5,75.1,6.03,68.7,22700,1.74,76.0,1.72,14600
52,PT Husna Corporation Bersama,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650
53,PT Nayla Technology Design,3.0,38.7,8.95,37.4,39800,0.351,80.0,1.87,46200
54,PT Avin Group Services,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600
55,PT Athallah Niaga Cyber,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750
56,PT Ray Core Strategic,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562
57,PT Abdul Globalindo International,16.5,35.0,10.1,52.8,6730,8.55,72.8,1.92,2960
58,PT Shafa Utama Future,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800
59,PT Ihsan Inti Resources,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310
60,PT Idham Communications Industry,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900
61,PT Ihsan Karya Design,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370
62,PT Nico Bersama Digitalisasi,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830
63,PT Shafa Chain Holding,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648
64,PT Husna Resources Enabler,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547
65,PT Rohibah Consultant Sejahtera,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040
66,PT Farhan Vision Mandiri,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662
67,PT Husna Mandiri Holding,6.0,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100
68,PT Berliana Consultant Logistics,2.6,53.4,9.4,43.3,38800,5.47,82.0,2.2,41900
69,PT Hana Infotech Chain,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350
70,PT Rafdy Artha Ware,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110
71,PT Zita Produksi Bhakti,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530
72,PT Nico Enterprise Factory,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500
73,PT Nayla Anugerah Technologies,4.2,103.0,9.19,86.5,45700,-3.22,80.4,2.05,48700
74,PT Rico Cemerlang Hardware,4.6,35.0,7.63,32.9,29600,1.77,81.4,3.03,30600
75,PT Sabiq Edge Smart,4.0,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800
76,PT Rafiaul Technology Support,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680
77,PT Rifqi Nusantara Tama,3.2,15.0,9.49,13.6,35800,-1.9,82.8,1.39,44500
78,PT Rafdy Group Consultant,21.1,48.3,8.04,69.0,9470,8.43,75.8,3.66,3680
79,PT Vio Inti Smartindo,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070
80,PT Shafa Factory Ecosystem,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967
81,PT Nico Express Design,62.7,13.3,11.3,79.9,1730,1.52,60.7,3.84,1490
82,PT Athallah Artha Sejahtera,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500
83,PT Shafa Corporation Communications,29.6,51.6,6.18,81.7,2790,10.0,68.5,3.1,880
84,PT Athallah Factory Core,78.9,35.4,4.47,49.3,3980,9.2,63.8,3.15,1140
85,PT Rafiaul Resources Data,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300
86,PT Zita Supply Makmur,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860
87,PT Okky Support Surya,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170
88,PT Zita Mobility Factory,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327
89,PT Nico Niaga Capital,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100
90,PT Avin Software IT,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000
91,PT Zita Analytics Group,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000
92,PT Rohibah Distribusi Perkasa,10.4,39.8,7.09,58.1,11400,2.04,74.0,1.47,4540
93,PT Avin Sinergi Smartindo,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413
94,PT Rafiaul Smartindo Bhakti,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459
95,PT Farhan Base Technologyindo,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070
96,PT Rohibah Design Sinergi,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100
97,PT Nico Development Inti,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708
98,PT German Sinergy Inti,6.8,153.0,8.65,154.0,28300,3.83,80.3,1.36,21100
99,PT Abdul Matrix IT,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200
100,PT Okky Creative Artha,15.0,51.2,6.0,62.2,15900,1.13,73.4,1.57,8000
101,PT Chaca Technology Support,40.0,23.5,14.2,81.0,3340,3.8,65.4,3.46,2860
102,PT Chaca Mandiri Industry,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630
103,PT Jemmy Persada Innovative,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650
104,PT Sabiq Transindo Consulting,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680
105,PT Rafdy Strategic Abadi,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830
106,PT Okky Globalindo Express,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419
107,PT Nayla Industry Ecosystem,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988
108,PT Athallah Access Partners,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190
109,PT Ihsan Media Holding,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592
110,PT German Future Indonesia,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300
111,PT Nayla Advanced Mobility,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700
112,PT Sabiq Karya Tama,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348
113,PT Avin Works Logika,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330
114,PT Ray Global Trans,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800
115,PT Jemmy Sinergi Technologyindo,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300
116,PT Rico Mobility Strategic,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040
117,PT Sabiq Technologies Visionindo,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080
118,PT Ihsan Inovasi International,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230
119,PT Abdul Dynamics Operasional,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020
120,PT Berliana Capital Transindo,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130
121,PT Vio Finance Cloud,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600
122,PT Vio Chain Future,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500
123,PT Jemmy Transindo Solution,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300
124,PT Sabiq Insight IT,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230
125,PT Vio Hub Intelligence,10.0,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700
126,PT Awalina Surya Perkasa,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563
127,PT Sabiq Lab Group,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450
128,PT Ihsan Bersama Visionindo,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300
129,PT German Automation Resources,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000
130,PT Rohibah Connect Creative,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410
131,PT Yassa Utama Sentosa,14.4,93.8,3.4,108.0,20400,-4.21,73.4,2.17,10800
132,PT Athallah Produksi Solusindo,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399
133,PT Farhan Visionindo Studio,2.8,200.0,3.96,174.0,72100,-0.046,82.7,1.15,46600
134,PT Zita Next Logistics,7.0,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600
135,PT Idham Smartindo Karya,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400
136,PT Jemmy Informatika Infotech,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290
137,PT Awalina Dynamics Design,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280
138,PT Zita Strategic Resources,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100
139,PT Okky Systems Bersama,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700
140,PT Rohibah Inovasi Technologies,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810
141,PT Awalina Platform Smart,20.7,26.9,4.47,57.1,9920,4.44,71.6,2.07,6230
142,PT Avin Industry Matrix,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480
143,PT Yassa Group Ware,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300
144,PT Ray Data Perkasa,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100
145,PT Febri Informatika Cloud,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600
146,PT Athallah Core Technologyindo,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738
147,PT Rifqi Nusantara Technologies,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702
148,PT Athallah Abadi Corporation,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080
149,PT Berliana Analytics International,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600
150,PT Yassa Technology Advance,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488
151,PT Febri Systems Financial,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550
152,PT Rohibah Platform Innovation,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140
153,PT Nico Karya Future,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700
154,PT Farhan Anugerah Digitalnet,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440
155,PT Ihsan Communications Core,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595
156,PT Husna Finance Lab,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970
157,PT Farhan Data Cyber,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000
158,PT Husna Technologyindo Karya,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900
159,PT Berliana Resources Corporation,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400
160,PT Rico Support Cemerlang,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900
161,PT Rifqi Services Operasional,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380
162,PT Nico Indo Karya,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970
163,PT Chaca Technologyindo Network,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500
164,PT Rafiaul Dynamics Capital,23.3,72.0,6.84,80.2,4490,12.1,73.1,1.95,1310
165,PT Nayla Smartindo Indo,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310
166,PT Yassa Technologyindo Partners,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460
